lsn,eventtime(utc+8),event,detail,file/directory name,full path,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,target vcn,cluster index,is_timestomped,is_suspicious_execution
10589176033,,,,bam.sys,\Windows\WinSxS\amd64_microsoft-windows-b..ndactivitymoderator_31bf3856ad364e35_10.0.19041.1_none_8b4593ccb753f4e5\bam.sys,12/7/19 17:08:41,12/7/19 17:08:41,12/25/23 16:25:40,12/28/23 9:30:19,Update Resident Value,0x3232,0,0,0
10589176067,,,,FileCoAuth-2023-12-28.1332.6064.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1332.6064.1.odl,12/28/23 21:32:25,12/28/23 21:32:32,12/28/23 21:32:32,12/28/23 22:23:06,Update Resident Value,0x3232,4,0,0
10589176101,,,,beep.sys,\Windows\System32\drivers\beep.sys,12/7/19 17:09:00,12/7/19 17:09:00,12/25/23 16:25:39,12/28/23 9:30:19,Update Resident Value,0x3232,6,0,0
10589176135,,,,battc.sys,\Windows\WinSxS\amd64_dual_battery.inf_31bf3856ad364e35_10.0.19041.1_none_d59603485d87e1fc\battc.sys,12/7/19 17:07:54,12/7/19 17:07:54,12/25/23 16:25:39,12/28/23 9:30:19,Update Resident Value,0x3233,2,0,0
10589176169,,,,FileCoAuth-2023-12-28.1322.3172.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1322.3172.1.odl,12/28/23 21:22:25,12/28/23 21:22:32,12/28/23 21:22:32,12/28/23 21:23:05,Update Resident Value,0x3234,0,0,0
10589176203,,,,1-4c00-658d41d7,\Users\blueangel\AppData\Local\Dropbox\logs\1\1-4c00-658d41d7,12/28/23 17:37:27,12/28/23 17:37:27,12/28/23 17:37:27,12/28/23 17:37:27,Update Resident Value,0x3235,4,0,0
10589176237,,,,FileCoAuth-2023-12-28.1002.11508.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1002.11508.1.odl,12/28/23 18:02:25,12/28/23 18:02:32,12/28/23 18:02:32,12/28/23 18:23:02,Update Resident Value,0x3236,0,0,0
10589176293,,,,CmBatt.sys,\Windows\WinSxS\amd64_dual_cmbatt.inf_31bf3856ad364e35_10.0.19041.1_none_ee327bdd120c4df2\CmBatt.sys,12/7/19 17:07:54,12/7/19 17:07:54,12/25/23 16:25:39,12/28/23 9:30:16,Update Resident Value,0x323A,0,0,0
10589176339,,,,1-341b-658d5050,\Users\blueangel\AppData\Local\Dropbox\logs\1\1-341b-658d5050,12/28/23 18:39:12,12/28/23 18:39:12,12/28/23 18:39:12,12/28/23 18:39:12,Update Resident Value,0x323F,0,0,0
10589176373,,,,fs_rec.sys,\Windows\System32\drivers\fs_rec.sys,12/7/19 17:08:49,12/7/19 17:08:49,12/25/23 16:25:39,12/28/23 9:30:17,Update Resident Value,0x3242,0,0,0
10589176407,,,,gpuenergydrv.sys,\Windows\WinSxS\amd64_microsoft-windows-gpuenergydriver_31bf3856ad364e35_10.0.19041.1_none_046a9b5a2d69211d\gpuenergydrv.sys,12/7/19 17:08:05,12/7/19 17:08:05,12/25/23 16:25:38,12/28/23 9:30:17,Update Resident Value,0x3244,0,0,0
10589176441,,,,i8042prt.sys,\Windows\System32\DriverStore\FileRepository\keyboard.inf_amd64_5938c699b80ebb8f\i8042prt.sys,12/7/19 17:07:56,12/7/19 17:07:56,12/25/23 16:25:40,12/28/23 9:30:17,Update Resident Value,0x324A,0,0,0
10589176475,,,,kbdclass.sys,\Windows\System32\DriverStore\FileRepository\keyboard.inf_amd64_5938c699b80ebb8f\kbdclass.sys,12/7/19 17:07:56,12/7/19 17:07:56,12/25/23 16:25:40,12/28/23 9:30:17,Update Resident Value,0x3250,4,0,0
10589176509,,,,kdnic.sys,\Windows\System32\DriverStore\FileRepository\kdnic.inf_amd64_6649425cdcae9b5f\kdnic.sys,12/7/19 17:07:56,12/7/19 17:07:56,12/25/23 16:25:39,12/28/23 9:30:17,Update Resident Value,0x3251,6,0,0
10589176543,,,,ksthunk.sys,\Windows\WinSxS\amd64_microsoft-windows-kernelstreamingthunk_31bf3856ad364e35_10.0.19041.1_none_e86a349cb6e47170\ksthunk.sys,12/7/19 17:08:58,12/7/19 17:08:58,12/25/23 16:25:39,12/28/23 9:30:17,Update Resident Value,0x3253,2,0,0
10589176577,,,,lltdio.sys,\Windows\System32\drivers\lltdio.sys,12/7/19 17:08:55,12/7/19 17:08:55,12/25/23 16:25:39,12/28/23 9:30:17,Update Resident Value,0x3253,6,0,0
